CodProfesionUOficio,Descripción,"Estado (1-Inactivo, 2- Activo)"
644,Consejero en salud ocupacional,2
645,Fisioterapeuta,2
646,Terapeuta físico ,2
647,Profesional en fisioterapia ,2
648,Terapeuta ocupacional,2
649,Nutricionista  profesional,2
650,Nutricionista de salud pública,2
651,Nutricionista,2
652,Dietista,2
653,Audiólogo,2
654,Logopeda,2
655,Óptico de oftalmología,2
656,Optometrista,2
657,Oculista,2
658,Especialista de salud pública,2
659,Sexólogo,2
660,Catedrático en  centro de enseñanza superior,2
661,Catedrático universitario,2
662,Encargado de  curso de enseñanza superior,2
663,Encargado de  curso / universidad,2
664,Profesor en centro de enseñanza superior,2
665,Profesor de enseñanza superior,2
666,Profesor de universidad,2
667,Profesor universitario,2
668,Profesor parauniversitario,2
669,Profesor del INA (con título universitario),2
670,Instructor del INA (con título universitario),2
671,Instructor de academia comercial (con título universitario),2
672,Instructor de academia técnica (con título universitario),2
673,Instructor de institución técnica - comercial (con título universitario),2
674,Profesor de academia  comercial (con título universitario),2
675,Profesor de academia  técnica (con título universitario),2
676,Profesor de instituciones  comerciales (con título universitario),2
677,Profesor de instituciones  técnicas (con título universitario),2
678,Profesor de enseñanza secundaria,2
679,Profesor de secundaria,2
680,Profesor de colegio,2
681,Educador de secundaria,2
682,Profesor de educación secundaria,2
683,Profesor de enseñanza general básica,2
684,Profesor de enseñanza primaria,2
685,Profesor de enseñanza primaria / alfabetización de adultos,2
686,Profesor de enseñanza unidocente,2
687,Profesor de escuela laboratorio,2
688,Maestro de escuela,2
689,Educador de escuela,2
690,Docente de escuela,2
691,Profesor de idiomas en primaria,2
692,Maestro de idiomas en primaria,2
693,Profesor de inglés en primaria,2
694,Maestro de inglés en primaria,2
695,Maestro de guardería,2
696,Profesor de enseñanza preescolar,2
697,Profesor de kínder,2
698,Maestro de preescolar,2
699,Maestro de kínder,2
700,Maestro de prekínder,2
701,Maestro de materno,2
702,Asesor de métodos de enseñanza,2
703,Especialista de enseñanza / métodos audiovisuales,2
704,Especialista de enseñanza /  métodos didácticos,2
705,Especialista de material didáctico auxiliar,2
706,Especialista de métodos pedagógicos,2
707,Especialista de programas de estudios,2
708,Investigador de desarrollo curricular,2
709,Especialista de desarrollo docente,2
710,Especialista de investigación educativa,2
711,Especialista en adecuación curricular,2
712,Investigador en docencia ,2
713,Inspector de escuelas,2
714,Supervisor de educación,2
715,Inspector escolar,2
716,Profesor de enseñanza especial,2
717,Profesor de enseñanza especial / enseñanza técnica profesional,2
718,Maestro de enseñanza especial,2
719,Profesor de  academia comercial / idiomas (con título universitario),2
720,Profesor de instituto / comercial / idiomas (con título universitario),2
